Table of pairwise p-values for conditional prob differences between i,j makes in last 10 shots (NOT adjusting for difficulty)
Using Bonferroni-corrected alpha value of 0.00091 and Mann-Whitney U test

  i,j      0       1       2       3       4       5       6       7       8       9       10  
   0       X     0.9492 0.63012 0.47653 0.48661 0.21683 0.30972  0.1449 0.08396  0.0471 0.29907
   1       X       X    0.26071 0.05922  0.0441 0.00168 0.00532 0.00085 0.00084  0.0036 0.24667
   2       X       X       X     0.3492 0.36664 0.01353 0.04538 0.00377 0.00329 0.01227 0.43413
   3       X       X       X       X    0.92356 0.08167 0.19282  0.0155 0.01318 0.02798 0.57213
   4       X       X       X       X       X    0.05354 0.14062 0.00883  0.0093 0.02256 0.56665
   5       X       X       X       X       X       X    0.68272 0.35657 0.16985 0.09581 0.72983
   6       X       X       X       X       X       X       X    0.17481 0.08989  0.0683 0.68068
   7       X       X       X       X       X       X       X       X    0.52087  0.2047 0.79955
   8       X       X       X       X       X       X       X       X       X    0.43042 0.86039
   9       X       X       X       X       X       X       X       X       X       X    0.97251
   10      X       X       X       X       X       X       X       X       X       X       X   

k-values for which probability difference is significant: [(1, 7), (1, 8)]
