Table of pairwise p-values for conditional prob differences between i,j makes in last 9 shots
Using Bonferroni-corrected alpha value of 0.00111

  i,j      0       1       2       3       4       5       6       7       8       9   
   0       X    0.44891 0.52804 0.42186 0.36244 0.51127 0.44761 0.38368 0.44912 0.05546
   1       X       X    0.68631 0.99208 0.77128 0.70464 0.92555 0.83211 0.89839 0.08754
   2       X       X       X    0.44834 0.19539 0.92707 0.59701 0.41863 0.69906 0.06819
   3       X       X       X       X    0.51998 0.38402 0.83906 0.75441 0.89016 0.08256
   4       X       X       X       X       X    0.10589 0.43887 0.95804 0.98072  0.0932
   5       X       X       X       X       X       X    0.58045 0.40481 0.71485 0.06901
   6       X       X       X       X       X       X       X     0.6666 0.84281 0.07907
   7       X       X       X       X       X       X       X       X     0.9991 0.09443
   8       X       X       X       X       X       X       X       X       X    0.11078
   9       X       X       X       X       X       X       X       X       X       X   

There is no pair of k-values for which the probability difference is significant
