Table of pairwise p-values for conditional prob differences between i,j makes in last 10 shots (NOT adjusting for difficulty)
Using Bonferroni-corrected alpha value of 0.00091

  i,j      0       1       2       3       4       5       6       7       8       9       10  
   0       X    0.66488 0.56878 0.58574 0.60309  0.6349 0.60307 0.59854  0.6495 0.65046 0.17118
   1       X       X    0.24824 0.27076 0.30737 0.38819 0.30922 0.30686 0.45181 0.51425 0.09431
   2       X       X       X     0.5811 0.67203 0.81143 0.66721 0.63098 0.75311 0.65491 0.11905
   3       X       X       X       X    0.62354 0.82142 0.61709 0.57347 0.72853 0.63661 0.11375
   4       X       X       X       X       X    0.75415 0.50086 0.47696 0.68109 0.61493 0.10881
   5       X       X       X       X       X       X    0.26381 0.29245 0.57189 0.57218 0.10017
   6       X       X       X       X       X       X       X    0.47726 0.67814 0.61453 0.10888
   7       X       X       X       X       X       X       X       X    0.67945 0.61851 0.11041
   8       X       X       X       X       X       X       X       X       X    0.54262 0.09749
   9       X       X       X       X       X       X       X       X       X       X    0.10547
   10      X       X       X       X       X       X       X       X       X       X       X   

There is no pair of k-values for which the probability difference is significant
